# Tree height data from Western Zimbabwe (2001-2003)
# Sp = 4-letter species code, Diameter = basal diameter in cm, Height = height in m
Sp	Diameter	Height
ACFL	2.5	1.3
ACFL	11.1	1.8
ACFL	7	3.5
ACFL	7.5	3.5
ACFL	8.6	4
ACFL	11.7	4.5
ACFL	10.8	5
ACFL	12.6	5
BAMA	1.5	0.6
BAMA	1.7	0.65
BAMA	1.1	0.75
BAMA	1	0.8
BAMA	1.3	0.8
BAMA	1	0.8
BAMA	1.2	0.85
BAMA	1.6	0.85
BAMA	1	0.85
BAMA	1.2	0.9
BAMA	1.3	1
BAMA	1.1	1
BAMA	1.2	1
BAMA	2	1
BAMA	2.1	1
BAMA	1.4	1
BAMA	1.3	1.05
BAMA	1.4	1.1
BAMA	1	1.2
BAMA	1.8	1.2
BAMA	1.2	1.3
BAMA	2.3	1.4
BAMA	1.3	1.5
BAMA	1.5	1.5
BAMA	1.4	1.5
BAMA	1.6	1.5
BAMA	2.2	1.5
BAMA	1.6	1.55
BAMA	1.6	1.55
BAMA	2.4	2.1
BAMA	4.1	2.1
BAMA	2.8	2.3
BAMA	4.2	2.6
BAMA	0.9	0.4
BAMA	0.95	0.45
BAMA	1.95	0.6
BAMA	1	0.65
BAMA	0.95	0.8
BAMA	1.3	0.8
BAMA	1.1	0.8
BAMA	1.5	0.9
BAMA	1	0.9
BAMA	1	0.95
BAMA	1	1
BAMA	1.3	1
BAMA	1	1
BAMA	1.35	1.05
BAMA	1.2	1.1
BAMA	1.5	1.15
BAMA	1.2	1.2
BAMA	1.3	1.2
BAMA	1.25	1.2
BAMA	2.4	1.3
BAMA	3.2	1.3
BAMA	2.9	1.3
BAMA	1.6	1.3
BAMA	2.2	1.4
BAMA	1.4	1.45
BAMA	1.6	1.5
BAMA	2.2	1.6
BAMA	1.9	1.6
BAMA	4.1	1.6
BAMA	1.65	1.7
BAMA	1.75	1.75
BAMA	2.3	1.8
BAMA	2.5	1.8
BAMA	1.8	1.8
BAMA	2.1	2
BAMA	3.4	2
BAMA	2.55	2.1
BAMA	3.2	2.2
BAMA	4.2	2.2
BAMA	2.75	2.2
BAMA	3.1	2.3
BAMA	3.1	2.3
BAMA	3.5	2.3
BAMA	5.8	2.3
BAMA	4.7	2.35
BAMA	2.3	2.5
BAMA	6.5	2.5
BAMA	2.4	2.6
BAMA	6.1	2.6
BAMA	3.4	3
BAMA	4.4	3.3
BAMA	6.4	3.5
BAMA	6	3.5
BAPL	1	0.35
BAPL	1.1	0.45
BAPL	1.1	0.5
BAPL	1.1	0.5
BAPL	1.1	0.5
BAPL	1.2	0.55
BAPL	1.2	0.55
BAPL	1	0.55
BAPL	1	0.6
BAPL	1.1	0.6
