"Bin","Day","GWC","Depth"
1,0,9.860599,30
1,0,7.273081019,10
1,1,9.864774,30
1,1,7.118918731,10
1,2,9.710855667,30
1,2,7.061158188,10
1,3,11.027929,30
1,3,7.562084994,10
1,4,12.29852067,30
1,4,7.916295994,10
1,5,12.40846233,30
1,5,7.928572625,10
1,6,12.24814233,30
1,6,7.824321888,10
1,7,12.45605733,30
1,7,8.055162806,10
1,8,13.31805567,30
1,8,8.450631338,10
1,9,13.252369,30
1,9,8.400921044,10
1,10,13.12266567,30
1,10,8.346984369,10
1,11,13.49257067,30
1,11,8.595535838,10
1,12,14.04506233,30
1,12,9.02099155,10
1,13,13.81738567,30
1,13,8.877093331,10
1,14,13.578019,30
1,14,8.811282538,10
1,15,13.74724567,30
1,15,9.0902237,10
1,16,14.052299,30
1,16,9.439000781,10
1,17,13.93094567,30
1,17,9.336360094,10
1,18,13.73193733,30
1,18,9.113368169,10
1,19,13.502034,30
1,19,8.980941556,10
1,20,13.166364,30
1,20,8.912715688,10
1,21,14.08430733,30
1,21,9.498371375,10
1,22,13.967129,30
1,22,9.381441494,10
1,23,13.70855733,30
1,23,9.3317312,10
1,24,13.44219233,30
1,24,9.221241519,10
1,25,14.07011233,30
1,25,9.783551481,10
1,26,14.01166233,30
1,26,9.784960275,10
1,27,13.72442233,30
1,27,9.622948994,10
1,28,13.69603233,30
1,28,9.732834906,10
1,29,14.14554067,30
1,29,10.02123511,10
1,30,13.939574,30
1,30,9.888405988,10
1,31,13.57690567,30
1,31,9.659980144,10
1,32,13.65511733,30
1,32,9.927248444,10
1,33,14.14136567,30
1,33,10.16332203,10
1,34,14.00999233,30
1,34,10.03753687,10
1,35,13.618099,30
1,35,9.804884644,10
1,36,13.708279,30
1,36,10.09147354,10
1,37,14.068999,30
1,37,10.22168634,10
1,38,14.020569,30
1,38,10.08704591,10
1,39,13.616429,30
1,39,9.816960019,10
1,40,13.79623233,30
1,40,10.16271826,10
1,41,14.13106733,30
1,41,10.39456546,10
1,42,13.945419,30
1,42,10.25650367,10
1,43,13.55603067,30
1,43,10.02485773,10
1,44,13.70132067,30
1,44,10.32694336,10
1,45,14.144984,30
1,45,10.51048906,10
1,46,13.82740567,30
1,46,10.26093131,10
1,47,13.627284,30
