Day,Bin,GWC_30cm,GWC_10cm
0,1,9.860599,7.273081019
0,2,13.41157567,7.398262406
0,3,10.185414,12.20104156
0,4,10.22911233,7.288376494
0,5,23.65285067,NA
0,6,15.62516067,7.121333806
0,7,7.216710667,NA
0,8,15.19764067,1.701100481
0,9,11.44320233,5.172167025
0,10,10.53054733,8.149149475
0,11,5.441779,5.265348669
0,12,11.000374,3.34717535
0,13,12.463294,NA
0,14,10.79941733,8.877093331
0,15,11.29707733,5.547107419
0,16,13.12906733,NA
0,17,9.350970667,6.701513269
0,18,9.858094,7.269860919
0,19,13.39125733,7.387394569
0,20,5.428697333,5.255487113
0,21,10.209629,9.206952325
0,22,9.355424,NA
0,23,NA,11.79007629
0,24,9.121067333,5.718577744
0,25,NA,11.47973916
0,26,11.42483233,NA
0,27,10.51078567,NA
0,28,10.167879,12.17850086
0,29,10.98172567,NA
0,30,12.437409,6.514344956
0,31,NA,8.3045193
0,32,11.54618567,8.667786831
0,33,13.104574,NA
0,34,9.329539,6.6880291
0,35,16.977304,5.530201894
0,39,NA,12.00642676
0,40,13.46084067,11.30001733
1,1,9.864774,7.118918731
1,2,13.440244,7.20163505
1,3,10.143664,11.37347586
1,4,9.838054,7.051497888
1,5,23.44410067,NA
1,6,15.98643733,6.615174338
1,7,7.110109,NA
1,8,14.76817233,1.635490944
1,9,11.45990233,5.131714519
1,10,10.29257233,8.106885663
1,11,5.557287333,5.238782844
1,12,10.49575567,3.295452494
1,13,12.410689,NA
1,14,10.33098233,8.334103969
1,15,10.874289,5.423334825
1,16,11.75465733,NA
1,17,9.229339,6.462420844
1,18,9.855589,7.110465969
1,19,13.41881233,7.192578519
1,20,5.544484,5.228921288
1,21,9.818292333,8.887759913
1,22,9.023650667,NA
1,23,NA,12.04869058
1,24,8.424120667,5.641899113
1,25,NA,11.16960328
1,26,11.44320233,NA
1,27,10.27197567,NA
1,28,10.12974733,11.35294772
1,29,10.47237567,NA
1,30,12.38675233,6.425389694
1,31,NA,7.968421363
1,32,10.79719067,8.359059744
1,33,11.730999,NA
1,34,9.209855667,6.448936675
1,35,16.06103067,5.566226763
1,39,NA,11.14082363
1,40,12.51061067,10.24181196
2,1,9.710855667,7.061158188
2,2,13.34978567,7.137031794
2,3,10.06879233,10.99752918
2,4,9.586440667,6.854870531
2,5,23.37396067,NA
2,6,16.122264,6.482747725
2,7,7.134602333,NA
2,8,14.34343567,1.634887175
2,9,11.20717567,5.168343156
2,10,10.28366567,8.340141656
2,11,5.607944,5.284468013
2,12,10.19265067,3.323427113
2,13,12.29267567,NA
2,14,10.11499567,7.956144731
2,15,10.440924,5.438227788
2,16,11.51501233,NA
2,17,9.136375667,6.302824638
2,18,9.701114,7.059346881
2,19,13.32696233,7.131195363
2,20,5.593749,5.275008969
2,21,9.566679,8.579234081
2,22,8.756450667,NA
2,23,NA,12.14650111
2,24,8.239029,5.659408406
2,25,NA,10.86188247
2,26,11.19103233,NA
2,27,10.26251233,NA
2,28,10.05376233,10.97881235
2,29,10.16927067,NA
2,30,12.26762567,6.567879119
2,31,NA,7.812850281
2,32,10.273089,8.047313813
2,33,11.49107567,NA
2,34,9.116614,6.289139213
2,35,15.17008567,5.534830788
2,39,NA,10.68980838
2,40,11.868774,9.947575325
3,1,11.027929,7.562084994
3,2,13.507879,8.0565716
3,3,10.36104233,13.11575121
3,4,11.10864567,7.818082944
3,5,23.67873567,NA
3,6,15.46038733,7.758913606
3,7,7.560452333,NA
3,8,15.14420067,1.686408775
3,9,11.646664,5.281449169
3,10,10.76128567,8.489473794
3,11,6.585450667,5.532415713
3,12,11.40395733,3.340936406
3,13,12.53621733,NA
3,14,10.880969,9.231103075
3,15,11.57374067,5.462378538
3,16,13.12322233,NA
3,17,9.991972333,7.042038844
3,18,11.019579,7.555443538
3,19,13.484499,8.047917581
3,20,6.566524,5.52396295
3,21,11.090554,9.638646981
3,22,10.08076067,NA
3,23,NA,11.66831626
3,24,10.00366233,5.966927956
3,25,NA,11.44150047
3,26,11.62940733,NA
3,27,10.740689,NA
3,28,10.342394,13.09139921
3,29,11.38252567,NA
3,30,12.510889,6.454974363
3,31,NA,8.366304969
3,32,12.03215567,8.8648167
3,33,13.09650233,NA
3,34,9.968035667,7.027145881
3,35,17.00096233,5.505044863
3,39,NA,12.26182094
3,40,13.74641067,12.43087619
4,1,12.29852067,7.916295994
4,2,13.35813567,7.527267663
4,3,10.26835733,12.17970839
4,4,11.40507067,7.767567625
4,5,23.39817567,NA
4,6,15.54082567,7.140050638
4,7,7.387329,NA
4,8,15.63601567,1.523592469
4,9,11.67700233,5.213827069
4,10,10.58649233,8.395688381
4,11,7.684310667,5.589975
4,12,11.837044,3.318596963
4,13,12.594389,NA
4,14,10.97226233,8.949948094
4,15,11.61799567,5.403812969
4,16,13.70104233,NA
4,17,10.37301067,7.009636588
4,18,12.28154233,7.903818106
4,19,13.33475567,7.513179725
4,20,7.671229,5.578302138
4,21,11.38002067,9.958845675
4,22,10.01479567,NA
4,23,NA,11.72647932
4,24,9.145839,5.842551594
4,25,NA,11.79591273
4,26,11.66280733,NA
4,27,10.56728733,NA
4,28,10.251379,12.15616141
4,29,11.81171567,NA
4,30,12.567669,6.260158313
4,31,NA,8.4301032
4,32,11.64610733,8.896212675
4,33,13.673209,NA
4,34,10.35102233,6.996152419
4,35,17.68399233,5.556365206
4,39,NA,11.16537689
4,40,14.09460567,11.12935203
5,1,12.40846233,7.928572625
5,2,13.39376233,7.314137294
5,3,10.165374,11.53367583
5,4,11.132304,7.503318169
5,5,23.198889,NA
5,6,15.78937733,6.743374569
5,7,7.212257333,NA
5,8,15.25247233,1.610132656
5,9,11.535609,5.237575306
5,10,10.54975233,8.308946938
5,11,8.071194,5.508063706
5,12,11.249204,3.325439675
5,13,12.46468567,NA
5,14,10.53555733,8.435335863
5,15,11.218309,5.4321901
5,16,12.761389,NA
5,17,10.33293067,6.833939881
5,18,12.389814,7.915289713
5,19,13.37038233,7.30145815
5,20,8.052267333,5.496390844
5,21,11.11421233,9.702445213
5,22,9.651014,NA
5,23,NA,11.90640241
5,24,8.596687333,5.714753875
5,25,NA,11.51757533
5,26,11.518909,NA
5,27,10.531939,NA
5,28,10.14672567,11.51033011
5,29,11.22359733,NA
5,30,12.439079,6.469867325
5,31,NA,8.116545963
5,32,10.938584,8.609020006
5,33,12.735504,NA
5,34,10.309829,6.822065763
5,35,16.99957067,5.516918981
5,39,NA,10.93413346
5,40,13.30887067,10.51914308
6,1,12.24814233,7.824321888
6,2,13.378454,7.308300863
6,3,10.19905233,11.12250931
6,4,10.871784,7.310313425
6,5,23.32191233,NA
6,6,16.08246233,6.590218563
6,7,7.192774,NA
6,8,14.89370067,1.606308788
6,9,11.44821233,5.213424556
6,10,10.40307067,8.183564294
6,11,8.301932333,5.402404175
6,12,10.748204,3.293238675
6,13,12.38007233,NA
6,14,10.30092233,8.040269844
6,15,10.77882067,5.422932313
6,16,11.69704233,NA
6,17,10.297304,6.590419819
6,18,12.226989,7.817680431
6,19,13.35535233,7.294816694
6,20,8.282170667,5.391335081
6,21,10.857589,9.284637238
6,22,9.384370667,NA
6,23,NA,12.11872775
6,24,8.384597333,5.703282269
6,25,NA,11.25714974
6,26,11.43067733,NA
6,27,10.38386567,NA
6,28,10.179569,11.10439625
6,29,10.726494,NA
6,30,12.357249,6.587803488
6,31,NA,7.94547815
6,32,10.390824,8.29002885
6,33,11.67199233,NA
6,34,10.27615067,6.578344444
6,35,16.25642067,5.489548131
6,39,NA,10.69021089
6,40,12.54790733,10.04619089
7,1,12.45605733,8.055162806
7,2,13.571339,8.089577625
7,3,10.37217567,12.87202989
7,4,11.127294,8.067036925
7,5,23.47249067,NA
7,6,15.564484,7.661103069
7,7,7.314684,NA
7,8,15.379114,1.626233156
7,9,11.74324567,5.150230094
7,10,10.712299,8.590101919
7,11,8.640385667,5.450101906
7,12,11.264234,3.262848981
7,13,12.470809,NA
7,14,10.430069,9.116387013
7,15,11.490519,5.378857194
7,16,12.59077067,NA
7,17,10.50995067,7.120327525
7,18,12.440749,8.044697481
7,19,13.55157733,8.077904763
7,20,8.621180667,5.439837838
7,21,11.10836733,10.01459366
7,22,10.430069,NA
7,23,NA,11.74338484
7,24,9.866722333,5.788212406
7,25,NA,11.6083419
7,26,11.725154,NA
7,27,10.69114567,NA
7,28,10.351579,12.84888543
7,29,11.240854,NA
7,30,12.44770733,6.553791181
7,31,NA,8.039666075
7,32,11.87406233,8.803836056
7,33,12.56544233,NA
7,34,10.48963233,7.107447125
7,35,16.877104,5.484516725
7,39,NA,12.30509104
7,40,12.46802567,11.72305796
8,1,13.31805567,8.450631338
8,2,13.493684,7.957754781
8,3,10.40975067,12.54337844
8,4,11.297634,8.126608775
8,5,23.512014,NA
8,6,15.700589,7.364048844
8,7,7.441882333,NA
8,8,15.60846067,1.596849744
8,9,11.708454,5.20517305
8,10,10.73707067,8.311563269
8,11,9.355980667,5.535434556
8,12,11.53282567,3.282370838
8,13,12.59411067,NA
8,14,10.76768733,9.064060388
8,15,11.65640567,5.400995381
8,16,13.01467233,NA
8,17,10.62518067,7.180301888
8,18,13.295789,8.439360988
8,19,13.47086067,7.946283175
8,20,9.335105667,5.523157925
8,21,11.275924,10.13112103
8,22,10.51134233,NA
8,23,NA,11.84260418
8,24,9.453675667,5.882199075
8,25,NA,11.77598836
8,26,11.68980567,NA
8,27,10.71424733,NA
8,28,10.38887567,12.52003271
8,29,11.50944567,NA
8,30,12.568504,6.7878522
8,31,NA,8.2819786
8,32,11.803644,8.922577244
8,33,12.98795233,NA
8,34,10.602914,7.16621395
8,35,17.211939,5.409246888
8,39,NA,11.76995067
8,40,12.73188567,11.60753688
9,1,13.252369,8.400921044
9,2,13.588039,7.647216388
9,3,10.28617067,11.64980069
9,4,11.17711567,7.778234206
9,5,23.32052067,NA
9,6,16.08329733,6.885058969
9,7,7.314405667,NA
9,8,15.18010567,1.563642463
9,9,11.493859,5.179009738
9,10,10.64410733,8.175111531
9,11,9.525764,5.490956925
9,12,10.934409,3.303704
9,13,12.488344,NA
9,14,10.35937233,8.4494238
9,15,11.148169,5.349473781
9,16,12.088379,NA
9,17,10.523589,6.924505194
9,18,13.23539067,8.387436875
9,19,13.564659,7.639769906
9,20,9.504610667,5.480894113
9,21,11.159859,9.625364069
9,22,10.02787733,NA
9,23,NA,12.12013654
9,24,8.793747333,5.788212406
9,25,NA,11.46263238
9,26,11.472149,NA
9,27,10.623789,NA
9,28,10.267244,11.62826627
9,29,10.91214233,NA
9,30,12.45967567,6.878216256
9,31,NA,7.988748244
9,32,10.953614,8.558303431
