Site,Plot,Sp,Ht,Dam,X,Y
BAN,1,acator,6.1,0,2.993,41.08922276
BAN,1,acator,5.1,0,14.872,44.66486964
BAN,1,acator,4.9,1,6.06025,11.38786064
BAN,1,acator,5.2,1,10,25.93915959
BAN,1,acator,7.7,1,10.09975,17.26253313
BAN,1,acator,6.7,2,3.98575,44.00385149
BAN,1,acator,4.2,2,7.63375,29.83899899
BAN,1,acator,3.9,2,15.68,26.04414714
BAN,1,acator,7.6,3,3.48525,6.641011402
BAN,1,acator,3.8,3,14.44,19.41974253
BAN,1,acator,3.4,4,0.03375,23.60002157
BAN,1,acator,6.1,5,14.62,11.17209023
BAN,1,acator,7,6,1.327,37.26897212
BAN,1,acator,0.6,7,2.22025,31.02948367
BAN,1,acator,5.4,8,5.112,47.47860039
BAN,1,comtro,0.7,0,6.45725,33.95026722
BAN,1,comtro,1,0,13.383,16.9545071
BAN,1,comtro,0.85,0,13.53775,41.47185103
BAN,1,comtro,0.95,0,15.34375,4.535342979
BAN,1,comtro,1.35,1,10.228,44.52752195
BAN,1,comtro,0.8,3,5.476,5.413263711
BAN,1,comtro,0.85,3,13.131,48.6520983
BAN,1,comtro,1.4,3,18.86775,18.46531911
BAN,1,comtro,0.9,4,8.767,9.326291385
BAN,1,comtro,0.65,4,13.06,48.08260594
BAN,1,comtro,0.7,4,17.24675,8.883108377
BAN,1,corova,1.7,6,14.86675,11.17764485
BAN,1,diccin,3.6,0,6.7,45.6285014
BAN,1,diccin,0.85,0,10.444,4.813820105
BAN,1,diccin,0.7,0,11.58875,2.222807557
BAN,1,ormtri,0.6,0,5.244,37.56012605
BAN,1,ormtri,0.9,1,18.51,46.18032724
BAN,1,ormtri,0.8,3,10.06275,42.4170545
BAN,1,ormtri,1,3,10.41825,6.538353534
BAN,1,ormtri,2.3,3,17.49,47.28156295
BAN,1,ormtri,2.1,4,0.354,39.50596913
BAN,1,ormtri,1.1,4,2.628,34.62295165
BAN,1,ormtri,1.2,4,13.40025,48.36192188
BAN,1,ormtri,0.7,5,10.66,41.39451338
BAN,1,ormtri,0.8,7,5.505,38.66620209
BAN,2,acarob,4.1,0,4.76925,13.26892062
BAN,2,acarob,5.6,0,13.77125,31.20524878
BAN,2,acarob,3.9,0,14.344,14.64580705
BAN,2,acarob,4.9,0,14.8,10.59245014
BAN,2,acarob,5.1,0,17.344,2.99093029
BAN,2,acarob,4,0,18.084,12.35228497
BAN,2,acarob,4.1,2,6.81875,26.78051145
BAN,2,acarob,5.7,3,15.12,38.16675869
BAN,2,acarob,3,4,15.17725,13.78046017
BAN,2,acasen,3.45,3,4.75,0
BAN,2,acasen,2.6,6,17.644,24.38645657
BAN,2,acator,4.7,0,5.25425,29.56466646
BAN,2,acator,5.1,0,12.07225,11.53909788
BAN,2,acator,0.25,5,10.99025,44.04480018
BAN,2,acator,0.65,7,13.565,5.399145766
BAN,2,acator,0.4,7,16.56775,17.36403352
BAN,2,albhar,0.3,4,2.51575,23.3183396
BAN,2,bosang,0.43,5,17.45875,30.464595
BAN,2,comtro,2.8,0,1.69275,38.72637603
BAN,2,comtro,3.6,0,4.5,0
BAN,2,comtro,1.5,0,6.56425,26.81119619
BAN,2,comtro,2.8,0,13.791,19.64200395
BAN,2,comtro,2.8,1,2.89675,35.69025369
BAN,2,comtro,2.5,1,3.8048125,36.47498977
BAN,2,comtro,1.6,1,7,0
BAN,2,comtro,2.9,1,15.375,31.57150644
BAN,2,comtro,1.4,2,3.79375,37.77512941
BAN,2,comtro,2.6,2,10.8859375,36.42589359
BAN,2,comtro,2.2,3,1.29325,5.139796147
BAN,2,comtro,2.35,3,1.324,4.66578225
BAN,2,comtro,2.2,3,1.63675,33.48088836
BAN,2,comtro,3.2,3,2.579,36.23959452
BAN,2,comtro,0.8,3,14.33575,15.07070907
BAN,2,comtro,1,4,1.255,26.83396937
BAN,2,comtro,0.39,4,16.29825,31.97620886
BAN,2,comtro,0.65,5,1.327,41.30062813
BAN,2,comtro,0.35,5,1.97625,5.346441427
BAN,2,comtro,0.75,5,5.875,42.92014301
BAN,2,comtro,1,5,6.28,6.994397758
BAN,2,comtro,0.6,5,7.102,7.459999732
BAN,2,comtro,0.71,5,10.688,36.01691536
BAN,2,comtro,0.4,5,15.69775,46.90473831
BAN,2,comtro,1,6,11.624,32.39055299
BAN,2,comtro,0.89,6,14.13075,32.87802861
BAN,2,comtro,0.5,7,8.12225,1.708524199
BAN,2,comtro,3.4,NA,13.89425,31.79670862
BAN,2,ormtri,0.6,0,4.376,10.09210701
BAN,2,ormtri,0.5,0,4.452,9.839699995
BAN,2,ormtri,0.45,0,4.488,2.422365786
BAN,2,ormtri,0.3,0,5.002,5.85405808
BAN,2,ormtri,0.6,2,4.718,8.930312201
BAN,2,ormtri,0.3,2,9.18375,18.9288118
BAN,2,ormtri,0.42,3,17.2409375,33.88447723
BAN,2,ormtri,0.35,4,4.7081875,7.076932278
BAN,2,ormtri,0.25,4,9.68125,18.74789051
BAN,2,ormtri,0.25,5,0.6939375,9.574886461
BAN,2,ormtri,0.3,5,2.84625,9.482028313
BAN,2,ormtri,0.55,5,3.71375,5.212299007
BAN,2,ormtri,0.4,5,5.16375,8.0929405
BAN,2,ormtri,0.45,5,5.45,7.78122741
BAN,2,ormtri,0.55,5,6.10975,6.878295933
BAN,2,ormtri,0.35,5,16.08025,49.20277987
BAN,2,ormtri,0.3,5,17.39825,9.240719503
BAN,2,ormtri,0.3,5,19.11525,12.96985803
BAN,2,ormtri,0.3,6,2.88775,11.64735592
BAN,2,ormtri,0.3,7,3.36625,10.3671771
BAN,2,ormtri,0.25,8,2.9193125,9.407449948
BAN,2,unk,0.85,4,1.2385,26.78301015
BAN,3,acager,5.6,1,16.5506875,11.75434997
BAN,3,acager,3.5,8,14.144,23.5838348
BAN,3,acarob,6.8,0,1.24,41.48986487
BAN,3,acarob,5.1,0,2.989,37.34828553
BAN,3,acarob,5.4,0,11.771,23.18282897
BAN,3,acarob,6.4,5,16.26175,47.87503249
BAN,3,acasen,0.4,0,13.18275,19.33326414
BAN,3,acasen,4.3,0,15.5434375,12.2654617
BAN,3,acasen,0.5,0,16.18075,0.789512152
BAN,3,acasen,4.7,0,18.858,16.25994576
BAN,3,acasen,4.4,0,NA,NA
BAN,3,acasen,4.9,1,1.214,14.44909008
BAN,3,acasen,0.6,1,4.78625,28.42450902
BAN,3,acasen,4.8,1,8.724,12.38605361
BAN,3,acasen,4.1,1,11.232,14.44756644
BAN,3,acasen,0.54,1,19.79225,41.60256944
BAN,3,acasen,3.9,2,11.82,15.1303536
BAN,3,acasen,2.9,2,14.991,11.99624604
BAN,3,acasen,4.4,3,10.125,7.499624991
BAN,3,acasen,3,6,9.646,6.261364388
BAN,3,acasen,2.5,NA,6.54375,33.2315971
BAN,3,acasen,2.5,NA,9.50275,45.30343291
BAN,3,acator,0.55,0,13.05375,14.07975891
BAN,3,acator,3.9,2,6.904,13.76571044
BAN,3,acator,5.6,3,7.249,41.72642768
BAN,3,acator,0.42,3,10.52875,18.63076551
BAN,3,acator,0.4,3,11.111,1.409141228
BAN,3,acator,0.5,4,3.632,16.30026307
BAN,3,acator,0.45,5,18.18675,3.898990182
BAN,3,acator,4.2,7,0.21275,18.49877665
BAN,3,balaeg,0.65,3,0.49975,3.968658456
BAN,3,balaeg,0.7,6,10.09975,32.73746687
BAN,3,comtro,1.66,0,14.38275,34.69848039
BAN,3,comtro,0.55,0,19.62325,43.41076185
BAN,3,comtro,1.34,1,15.346,33.5455087
BAN,3,comtro,1.2,2,4.77325,2.303493963
BAN,3,comtro,1.9,2,12.46225,0.970734226
BAN,3,comtro,1.4,3,0.506,49.51630175
BAN,3,comtro,0.6,4,16.831,32.89101292
BAN,3,comtro,1.7,4,18.56375,34.16500123
BAN,3,comtro,0.68,5,1.544,9.373689988
BAN,3,comtro,0.3,5,14.39875,47.58421888
BAN,3,comtro,0.62,5,16.656,6.824783073
BAN,3,comtro,0.65,7,6.01525,42.64698923
BAN,3,ormtri,0.66,0,22.507,15.49094393
BAN,3,ormtri,0.72,2,0.001,6.399999922
BAN,3,ormtri,0.67,3,0.347,14.79593157
BAN,3,ormtri,1.25,3,3.57975,32.35955245
BAN,3,ormtri,1.05,3,19.854,14.70030193
BAN,3,ormtri,0.5,4,11.61175,11.58133248
BAN,3,ormtri,0.6,4,13.906,18.94394795
BAN,3,ormtri,0.6,5,0.08425,11.89970176
BAN,3,ormtri,0.5,5,1.65975,19.12812667
BAN,3,ormtri,0.85,5,2.52175,27.74239957
BAN,3,ormtri,0.5,5,3.29075,24.00748253
BAN,3,ormtri,0.45,5,3.672,19.45652631
BAN,3,ormtri,0.5,5,9.304,20.92476007
BAN,4,acager,0.85,0,4.05,0
BAN,4,acasen,0.35,0,2.9221875,15.62916569
BAN,4,acasen,0.5,0,7.91875,44.9350816
BAN,4,acasen,0.45,1,10.17625,6.168787234
BAN,4,acasen,0.3,6,4.6208125,12.31140089
BAN,4,acasen,3.5,7,3.5,0
BAN,4,acasen,2.7,7,18.52825,5.403142783
BAN,4,acasen,0.35,8,11.539,13.81490061
BAN,4,acasen,0.3,8,19.1,0
BAN,4,acasen,1.7,NA,3.916,20.42804308
BAN,4,acasen,2.2,NA,11.408,7.941507162
BAN,4,acasen,NA,NA,14.95,33.45347468
BAN,4,acasen,3.5,NA,15.9255625,43.11530981
BAN,4,acasen,1.7,NA,16.9234375,42.77800144
BAN,4,acasen,2.5,NA,19.8214375,23.04930835
BAN,4,acator,5.4,0,10.17475,33.48842281
BAN,4,acator,8.3,1,10.76125,48.26636266
BAN,4,acator,5.2,1,12.745,28.69712486
BAN,4,acator,3.3,1,17.33125,26.06372524
BAN,4,acator,0.44,6,7.48,42.48936754
BAN,4,acator,0.75,8,1.024,0.954685288
BAN,4,acator,5.3,NA,10.897,28.16550001
BAN,4,balaeg,3.2,2,15.5943125,12.76087449
BAN,4,comtro,0.45,2,4.4745625,47.06728958
BAN,4,comtro,0.35,4,3.292,39.1901556
BAN,4,comtro,0.55,6,4.99,12.75891453
BAN,4,comtro,0.65,6,6.776,42.92004068
BAN,4,comtro,0.5,8,5.0916875,18.61624877
BAN,4,comtro,0.4,8,8.32,21.7639059
BAN,4,grebic,0.55,2,0.196,47.20686842
BAN,4,ormtri,2.4,1,16.179,12.425778
BAN,4,ormtri,0.75,2,13.33375,34.03594316
BAN,4,ormtri,0.7,7,3.45625,36.74314004
BAN,4,ormtri,0.3,7,10.372,42.67117909
BAN,4,ormtri,0.4,7,11.375,42.5455131
BIR,1,acager,2.7,6,0.91,34.3263948
BIR,1,acasen,0.5,0,8.8599375,7.173667646
BIR,1,acasen,0.4,0,10.98175,23.80913963
BIR,1,acasen,0.5,2,7.732,42.45969656
BIR,1,acasen,0.6,2,15.9415,44.85888361
BIR,1,acasen,4.1,5,9,0
BIR,1,acasen,2.6,6,7.3219375,8.475212755
BIR,1,acasen,4.2,7,8.01425,21.19406664
BIR,1,acasen,4.1,7,8.6,9.748846086
BIR,1,acasen,4.3,7,12.58125,10.67530554
BIR,1,acasen,2.5,8,5.03875,32.92806401
BIR,1,acasen,3.6,8,7.51375,4.580781695
BIR,1,acasen,2.5,9,1.765,22.2560858
BIR,1,acasen,2,NA,1.009,20.57527446
BIR,1,acasen,2.2,NA,2.02,26.48660807
BIR,1,acasen,1.8,NA,8.098,19.97280573
BIR,1,acasen,2.2,NA,9.84,12.48937148
BIR,1,acasen,2,NA,10.8,0
BIR,1,acasen,2.2,NA,14.4,16.89615341
BIR,1,acasen,1.7,NA,16.90975,43.83069251
BIR,1,acator,3.5,0,1.95,19.40225502
BIR,1,acator,5.1,0,12.06025,0.979984662
BIR,1,acator,3.2,1,0.42175,19.5954619
BIR,1,acator,4.1,2,1.50725,48.00545809
BIR,1,acator,5.9,3,10.756,26.87947959
BIR,1,acator,0.5,4,6.859,16.69903727
BIR,1,acator,3.4,NA,12.46375,15.12663003
BIR,1,balaeg,4.8,1,4.69025,11.58669733
BIR,1,balaeg,4.1,2,1.279,9.514418479
BIR,1,corova,0.65,2,5.60625,28.82973876
BIR,1,corova,0.85,3,10.5,27.09170456
BIR,1,corova,0.4,5,1.103,24.42377293
BIR,1,dovmac,0.55,7,4.01225,24.61512557
BIR,1,grebic,0.75,1,12.22,15.4519125
BIR,1,ormtri,0.4,0,5.36,5.387986637
BIR,1,ormtri,0.5,0,5.56,30.58025747
