"PLOT","MDS1","MAP","SLOPE","ELEV","RIVDIST","ELE10","ELE20","FIRE","TOPO","N","CLAY","BD","CN"
"BAN1",-1.11728763,753.86206,1.442528,1634,815.580055,0.02864789,0.20928875,0,62.37137141,0.22801254,52.67,1.77150062,13.59667262
"BAN2",0.34987712,755.926269,1.240881,1644,1633.336674,0.025464791,0.163133817,0,54.03139554,0.091905378,50.61,1.931567266,13.95980497
"BAN3",-0.07183854,744.885131,3.052901,1675,642.225041,0.05729578,0.121753531,0,36.59736515,0.147840262,37.64,2.037725577,12.32780687
"BAN4",-0.88320875,745.478515,2.868635,1732,1232.883434,0.181436635,0.159950718,0,43.60901942,0.1158835,36.645,2.245813789,12.17572101
"BIL1",-0.76055142,754.504333,0.548466,1657,3926.567076,0,0.095492966,0.5,41.41142819,0.095750358,48.01,1.289320089,13.79794774
"BIL2",-0.11318464,759.015075,0.452281,1649,4857.185682,0.022281692,0.12652818,0.666667,49.29853289,0.081704203,41.56,1.213523039,17.42679996
"BIL3",-1.04541704,759.292297,1.211458,1571,2810.582881,0,0.163929591,0.666667,45.32889524,0.087468833,43.335,1.31494207,15.11059401
"BIL4",0.5949604,752.876037,1.491698,1650,4274.096988,0.022281692,0.121753531,0.5,47.59310397,0.086794403,35.29,1.276226156,13.74682882
"KIR1",0.40641667,883.477416,1.768243,1220,1027.043641,0.120957757,0.160746493,0,49.82408364,0.106458239,32.29,2.169804532,14.36933476
"KIR2",0.67215612,895.513854,1.034763,1236,2747.557154,0.120957757,0.160746493,0.166667,53.68568002,0.099250786,54.565,1.603087182,15.09117544
"KIR3",2.00908653,904.338073,1.250535,1247,1981.044493,0.120957757,0.172683113,0.333333,55.41035092,0.186708644,56.21,1.093194042,15.66477314
"KIR4",0.67215612,909.843872,1.395933,1249,955.400818,0.120957757,0.218838047,0.166667,52.91200904,0.114558112,53.085,1.418215944,16.2159737
"KIT1",0.5793722,897.573669,1.952336,1494,849.430039,0.105042262,0.118570433,0.333333,47.92299661,0.079797335,30.09,1.670726068,15.2877466
"KIT2",1.8550485,892.215454,2.060123,1509,2071.907961,0.108225361,0.123345081,0.166667,47.24805374,0.070982877,25.275,1.537114511,15.09820279
"KIT3",0.54741746,908.540893,1.754597,1466,1483.001902,0.108225361,0.092309867,0.5,39.45743248,0.061649593,24.725,2.477614121,15.72186866
"KIT4",1.95854684,885.716247,1.011247,1313,3676.980577,0.108225361,0.235549316,0.333333,48.2541639,0.060475659,35.58,1.653262251,14.68214397
"KMS1",0.98577718,806.509765,0.465393,1425,2045.720109,0.003183099,0.282500024,0.333333,42.41395784,0.108704288,70.4,1.571413383,17.63978526
"KMS2",0.42900608,814.064758,1.630317,1294,1568.366319,0.047746483,0.239528189,0.166667,31.50246435,0.108626105,54.675,2.053248097,12.61464567
"MUS1",-0.56710438,844.758666,1.011247,1292,1648.306452,0.047746483,0.148014097,0.166667,26.55498841,0.109724127,61.655,1.841151539,12.92280384
"MUS2",0.80152415,876.267761,0.735826,1351,1418.577182,0.003183099,0.146422548,0.166667,33.26670667,0.145933814,60.38,1.359741239,14.78686691
"NCA1",-1.21819837,634.3482666,0.674640298,1562,7457.219951,0,0.001591549,0,41.42014353,0.10701368,32.86,1.343031935,17.16501968
"NCA2",-0.99774483,638.2125854,0.567993999,1567,9283.84824,0.006366198,0.001591549,0,51.19499466,0.06589447,15.355,1.699743354,22.73595639
"SIM1",-1.00398815,749.205383,1.250535,1428,1407.100906,0,0,0,50.54624602,0.13430088,69.81,1.464068287,11.9730775
"SIM2",-0.2155032,752.539001,0.790983,1458,1131.216332,0,0,0.333333,33.92315351,0.189549365,61.57,1.221429699,14.24373629
"SIM3",0.30367664,752.539001,1.535384,1425,1690.384832,0,0,0,34.1974806,0.20923733,67.055,1.574808689,12.63473816
"SIM4",-0.90203142,752.101623,1.630317,1441,268.524273,0,0,0.166667,34.97476425,0.185470916,69.075,1.217342757,12.68308454
"SOT1",-1.21819837,648.273559,1.085811,1509,6497.123984,0,0.031035214,0.333333,33.85417873,0.135746796,67.1,1.250981431,12.21780845
"SOT2",-1.21819837,666.027465,1.011247,1522,9188.185796,0,0.031035214,0.333333,33.77242338,0.130305931,63.375,1.487379574,11.93544759
"SOT3",-1.21819837,640.921508,0.639609,1525,6009.515658,0,0.04217606,0.333333,30.55858472,0.135926143,64.835,1.298594303,11.49445457
"SOT4",-1.07930061,634.146301,0.548466,1543,5959.799436,0.009549297,0.04217606,0.5,29.44181929,0.122579925,72.64,1.525136628,11.46311406
"TAW1",-1.21819837,786.550048,1.085811,1748,3530.377266,0.05729578,0.221225371,0,39.45004889,0.124809571,57.715,1.548023501,13.52577837
"TAW2",0.5585249,789.139709,1.145113,1731,2081.8807,0.02864789,0.222021146,0.166667,42.70067898,0.125558392,51.16,1.402119681,14.81761372
"TAW3",-0.34942163,789.725097,1.181301,1685,3645.01046,0.02864789,0.223612695,0,40.5140118,0.12570829,46.375,1.48411002,14.10538916
"TAW4",0.16484623,789.139709,0.65815,1688,2042.660336,0.02864789,0.22281692,0.333333,43.40312821,0.091777564,35.38,1.530119553,13.12886632
"TOG1",0.63470388,770.376464,2.639974,1561,2300.705232,0.550676103,0.393112709,0.5,37.30577561,0.109265342,31.85,1.314737723,13.09216384
"TOG2",0.67215612,773.145507,1.283751,1523,2534.351638,0.550676103,0.395500034,0.5,41.07686899,0.094310672,36.93,2.014752249,15.75615575
"TOG3",0.57278458,773.145507,2.220075,1541,2906.892672,0.537943708,0.358894397,0.333333,44.45955799,0.129068744,37.885,1.463580997,14.9132376
"TOG4",0.42953638,769.166503,1.939989,1531,1285.529885,0.550676103,0.346162001,0.166667,44.4236129,0.081430853,34.225,1.324161267,15.27488265
