"PLOT","DIAM","FROST","CROWN","BASAL"
"P1",1.5,1,946.64,8.90218
"P1",1.7,0,946.64,8.90218
"P1",1.7,1,946.64,8.90218
"P1",1.8,0,946.64,8.90218
"P1",1.8,0,946.64,8.90218
"P1",1.9,0,946.64,8.90218
"P1",2,0,946.64,8.90218
"P1",2.2,0,946.64,8.90218
"P1",2.8,0,946.64,8.90218
"P1",2.9,0,946.64,8.90218
"P1",6.3,0,946.64,8.90218
"P1",41.3,0,946.64,8.90218
"P2",1,1,915.304,9.04358
"P2",1,1,915.304,9.04358
"P2",1,0,915.304,9.04358
"P2",1,0,915.304,9.04358
"P2",1,1,915.304,9.04358
"P2",1,0,915.304,9.04358
"P2",1.1,0,915.304,9.04358
"P2",1.1,1,915.304,9.04358
"P2",1.1,0,915.304,9.04358
"P2",1.1,0,915.304,9.04358
"P2",1.1,0,915.304,9.04358
"P2",1.1,0,915.304,9.04358
"P2",1.2,0,915.304,9.04358
"P2",1.2,1,915.304,9.04358
"P2",1.2,1,915.304,9.04358
"P2",1.2,1,915.304,9.04358
"P2",1.2,1,915.304,9.04358
"P2",1.2,0,915.304,9.04358
"P2",1.2,0,915.304,9.04358
"P2",1.2,0,915.304,9.04358
"P2",1.3,1,915.304,9.04358
"P2",1.3,1,915.304,9.04358
"P2",1.3,1,915.304,9.04358
"P2",1.3,1,915.304,9.04358
"P2",1.3,0,915.304,9.04358
"P2",1.3,0,915.304,9.04358
"P2",1.3,0,915.304,9.04358
"P2",1.3,0,915.304,9.04358
"P2",1.4,1,915.304,9.04358
"P2",1.4,0,915.304,9.04358
"P2",1.5,1,915.304,9.04358
"P2",1.5,1,915.304,9.04358
"P2",1.5,0,915.304,9.04358
"P2",1.6,1,915.304,9.04358
"P2",1.6,1,915.304,9.04358
"P2",1.6,0,915.304,9.04358
"P2",1.6,0,915.304,9.04358
"P2",1.7,1,915.304,9.04358
"P2",1.7,1,915.304,9.04358
"P2",1.7,0,915.304,9.04358
"P2",1.7,0,915.304,9.04358
"P2",1.7,0,915.304,9.04358
"P2",1.8,1,915.304,9.04358
"P2",1.8,1,915.304,9.04358
"P2",1.8,0,915.304,9.04358
"P2",1.9,1,915.304,9.04358
"P2",1.9,1,915.304,9.04358
"P2",1.9,0,915.304,9.04358
"P2",2,0,915.304,9.04358
"P2",2,0,915.304,9.04358
"P2",2.1,0,915.304,9.04358
"P2",2.1,0,915.304,9.04358
"P2",2.2,0,915.304,9.04358
"P2",2.3,1,915.304,9.04358
"P2",2.4,1,915.304,9.04358
"P2",2.5,0,915.304,9.04358
"P2",2.5,0,915.304,9.04358
"P2",2.7,1,915.304,9.04358
"P2",3,0,915.304,9.04358
"P2",3.4,1,915.304,9.04358
"P2",3.9,0,915.304,9.04358
"P2",4.2,0,915.304,9.04358
"P2",4.9,0,915.304,9.04358
"P2",4.9,0,915.304,9.04358
"P2",5,0,915.304,9.04358
"P2",5.1,0,915.304,9.04358
"P2",5.1,0,915.304,9.04358
"P2",5.2,0,915.304,9.04358
"P2",5.5,0,915.304,9.04358
"P2",5.6,0,915.304,9.04358
"P2",5.7,0,915.304,9.04358
"P2",6.1,0,915.304,9.04358
"P2",6.8,0,915.304,9.04358
"P2",6.9,0,915.304,9.04358
"P2",7,0,915.304,9.04358
"P2",7.6,0,915.304,9.04358
"P2",7.8,0,915.304,9.04358
"P2",7.9,0,915.304,9.04358
"P2",8.1,0,915.304,9.04358
"P2",8.1,0,915.304,9.04358
"P2",8.3,0,915.304,9.04358
"P2",9.5,0,915.304,9.04358
"P2",9.8,0,915.304,9.04358
"P2",10.3,0,915.304,9.04358
"P2",10.4,0,915.304,9.04358
"P2",12,0,915.304,9.04358
"P2",17.1,0,915.304,9.04358
"P2",35,0,915.304,9.04358
"P2",44.5,0,915.304,9.04358
"P2",44.6,0,915.304,9.04358
"P3",1,1,470.437,4.74304
"P3",1,1,470.437,4.74304
"P3",1,1,470.437,4.74304
"P3",1,1,470.437,4.74304
"P3",1,1,470.437,4.74304
"P3",1,1,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,0,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,1,470.437,4.74304
"P3",1.1,0,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,1,470.437,4.74304
"P3",1.2,0,470.437,4.74304
"P3",1.3,1,470.437,4.74304
"P3",1.3,1,470.437,4.74304
"P3",1.3,1,470.437,4.74304
"P3",1.3,1,470.437,4.74304
"P3",1.4,1,470.437,4.74304
"P3",1.4,1,470.437,4.74304
"P3",1.4,1,470.437,4.74304
"P3",1.4,1,470.437,4.74304
"P3",1.4,0,470.437,4.74304
"P3",1.4,1,470.437,4.74304
"P3",1.5,1,470.437,4.74304
"P3",1.5,1,470.437,4.74304
"P3",1.5,0,470.437,4.74304
"P3",1.5,0,470.437,4.74304
"P3",1.6,1,470.437,4.74304
"P3",1.6,1,470.437,4.74304
"P3",1.6,1,470.437,4.74304
"P3",1.6,1,470.437,4.74304
"P3",1.6,1,470.437,4.74304
"P3",1.7,1,470.437,4.74304
"P3",1.8,0,470.437,4.74304
"P3",1.9,0,470.437,4.74304
"P3",1.9,1,470.437,4.74304
"P3",1.9,1,470.437,4.74304
"P3",2,1,470.437,4.74304
"P3",2,1,470.437,4.74304
"P3",2,0,470.437,4.74304
"P3",2.1,1,470.437,4.74304
"P3",2.1,1,470.437,4.74304
"P3",2.5,1,470.437,4.74304
"P3",2.5,1,470.437,4.74304
"P3",2.6,1,470.437,4.74304
"P3",2.7,1,470.437,4.74304
"P3",2.8,1,470.437,4.74304
"P3",3.7,1,470.437,4.74304
"P3",4.9,1,470.437,4.74304
"P3",5,0,470.437,4.74304
"P3",5.2,0,470.437,4.74304
"P3",5.5,0,470.437,4.74304
"P3",5.6,0,470.437,4.74304
"P3",5.7,0,470.437,4.74304
"P3",5.9,0,470.437,4.74304
"P3",6,0,470.437,4.74304
