ID,X,Y,MAP,Dry_ratio,Fire,Elev.mn,Elev.sd,Slope.mn,Slope.sd,Curvat.mn,Curvat.sd,WCI
1,698442.4778,9842280.111,1174.229,0.4843461,0.230769231,1478,3.8987177,2.8549132,0.43471372,-0.031279504,0.046130641,-0.192965311
2,698198,9839718,1153.746,0.4816323,0.307692308,1442.444,1.3333333,0.5605229,0.16901768,-0.005213251,0.052493739,-0.130828274
3,700139.8889,9834451.778,1123.718,0.4728742,0.692307692,1437.667,1.4142136,0.9822813,0.42497686,0.007819876,0.063709198,-0.095856295
4,701498.7778,9833630.889,1112.403,0.4704575,0.692307692,1439.444,1.1303883,0.77311,0.38365024,0.013033127,0.055156464,0.000537553
5,705371.8889,9832205,1072.438,0.4655634,0.076923077,1403.889,1.9002924,0.7408817,0.36041771,-0.002606625,0.071054448,-0.196671526
6,710023.9,9831042,1076.353,0.4573839,0.153846154,1461.167,1.9407902,0.8143287,0.31512306,0.00195497,0.095701671,0.001248988
7,708017.6667,9830199.444,1068.465,0.4597026,0,1436.5,1.2909944,1.0682774,0.32619676,-0.041054349,0.052018342,0.099543696
8,710602.2778,9829864.333,1067.29,0.4553283,0,1466,1.4142136,0.8852956,0.24588104,0.005864907,0.032968917,0.029112333
9,711060.4333,9828752,1047.057,0.4537023,0.076923077,1433.25,1.2583057,1.5489341,0.67554549,-0.020527175,0.05615221,-0.034140305
10,709373.6667,9827387.889,1041.214,0.4541475,0,1408,2.9439203,2.1904191,0.33155457,0.026392082,0.069311854,-0.077706967
11,711929.9222,9827062.889,1036.278,0.4517764,0,1414.333,4.6636895,2.437846,0.87701886,-0.03388613,0.069751585,0.102671169
12,710460.1222,9826575.333,1036.275,0.4521202,0,1409.667,2.8284271,1.5733177,0.44441291,0.018246378,0.059842493,-0.007064646
13,709487.3889,9826475.111,1044.493,0.452574,0,1426.222,2.7284509,2.1414786,0.45580626,0.020853003,0.047203495,0.003125487
14,700174.2778,9819798.111,1078.837,0.4520536,0.615384615,1451.5,3.5118846,2.3727762,0.59663888,-0.029324533,0.09310251,-0.17928115
15,744620.5333,9815259.256,931.0901,0.3925092,0,1625.556,3.7785947,2.8641524,0.36269849,0.044312631,0.027369566,0.029500715
