Bin,Species,TTT,Date,Day,Crown,Ht
A1,DICI,G-,14-Oct,10,32.5,43
A2,SCBI,G-,14-Oct,10,34,11
A3,LOCA,G-,14-Oct,10,28,39
A4,LOCA,G+,14-Oct,10,58.5,23
B1,DICI,G+,14-Oct,10,41.5,40
B2,SCBI,G-,14-Oct,10,30,10.5
B3,LOCA,G+,14-Oct,10,54.5,28
B4,DICI,G-,14-Oct,10,43.5,44
C1,SCBI,G+,14-Oct,10,32,18.5
C2,DICI,G-,14-Oct,10,40,39
C3,LOCA,G-,14-Oct,10,56.5,52
C4,SCBI,G-,14-Oct,10,29.5,13
D1,LOCA,G-,14-Oct,10,60,29
D2,DICI,G+,14-Oct,10,57.5,46
D3,SCBI,G-,14-Oct,10,44,27
D4,LOCA,G+,14-Oct,10,51.5,33
E1,DICI,G-,14-Oct,10,29,36
E2,SCBI,G+,14-Oct,10,20,17.5
E3,LOCA,G-,14-Oct,10,49,24
E4,SCBI,G+,14-Oct,10,33.5,17
F1,DICI,G+,14-Oct,10,54,45
F2,SCBI,G+,14-Oct,10,29.5,20
F3,DICI,G+,14-Oct,10,35,34
F4,LOCA,G+,14-Oct,10,54,16
A1,DICI,G-,25-Oct,21,50.5,55
A2,SCBI,G-,25-Oct,21,48,15
A3,LOCA,G-,25-Oct,21,42.5,44
A4,LOCA,G+,25-Oct,21,58,28
B1,DICI,G+,25-Oct,21,46.5,54
B2,SCBI,G-,25-Oct,21,34.5,14
B3,LOCA,G+,25-Oct,21,53.5,33
B4,DICI,G-,25-Oct,21,45.5,58
C1,SCBI,G+,25-Oct,21,35.5,21
C2,DICI,G-,25-Oct,21,64.5,47.5
C3,LOCA,G-,25-Oct,21,43,55
C4,SCBI,G-,25-Oct,21,37.5,16
D1,LOCA,G-,25-Oct,21,61.5,31
D2,DICI,G+,25-Oct,21,64.5,49
D3,SCBI,G-,25-Oct,21,49,33
D4,LOCA,G+,25-Oct,21,45,36
E1,DICI,G-,25-Oct,21,41.5,40
E2,SCBI,G+,25-Oct,21,19.5,20
E3,LOCA,G-,25-Oct,21,50.5,27
E4,SCBI,G+,25-Oct,21,33.5,20
F1,DICI,G+,25-Oct,21,56,55
F2,SCBI,G+,25-Oct,21,29,24
F3,DICI,G+,25-Oct,21,34.5,37
F4,LOCA,G+,25-Oct,21,55.5,19
A1,DICI,G-,1-Nov,28,57.5,58
A2,SCBI,G-,1-Nov,28,51,15
A3,LOCA,G-,1-Nov,28,40.5,43
A4,LOCA,G+,1-Nov,28,56.5,28
B1,DICI,G+,1-Nov,28,49.5,57
B2,SCBI,G-,1-Nov,28,37,23
B3,LOCA,G+,1-Nov,28,57,33
B4,DICI,G-,1-Nov,28,51,56
C1,SCBI,G+,1-Nov,28,32,28.5
C2,DICI,G-,1-Nov,28,75.5,52
C3,LOCA,G-,1-Nov,28,55.5,55
C4,SCBI,G-,1-Nov,28,35,16
D1,LOCA,G-,1-Nov,28,59,29
D2,DICI,G+,1-Nov,28,65.5,47
D3,SCBI,G-,1-Nov,28,47,29
D4,LOCA,G+,1-Nov,28,56.5,35
E1,DICI,G-,1-Nov,28,49.5,44
E2,SCBI,G+,1-Nov,28,17.5,20
E3,LOCA,G-,1-Nov,28,51,26
E4,SCBI,G+,1-Nov,28,32.5,17
F1,DICI,G+,1-Nov,28,67.5,59
F2,SCBI,G+,1-Nov,28,29,30
F3,DICI,G+,1-Nov,28,42.5,37.5
F4,LOCA,G+,1-Nov,28,56,12.5
A1,DICI,G-,8-Nov,35,63,63.5
A2,SCBI,G-,8-Nov,35,52.5,18
A3,LOCA,G-,8-Nov,35,42,43
A4,LOCA,G+,8-Nov,35,52.5,28
B1,DICI,G+,8-Nov,35,68.5,59
B2,SCBI,G-,8-Nov,35,41,26
B3,LOCA,G+,8-Nov,35,61.5,33
B4,DICI,G-,8-Nov,35,61.5,59
C1,SCBI,G+,8-Nov,35,31.5,30
C2,DICI,G-,8-Nov,35,75.5,57
C3,LOCA,G-,8-Nov,35,56.5,56
C4,SCBI,G-,8-Nov,35,41.5,26
D1,LOCA,G-,8-Nov,35,56.5,31
D2,DICI,G+,8-Nov,35,73.5,50
D3,SCBI,G-,8-Nov,35,45,37
D4,LOCA,G+,8-Nov,35,49.5,35
E1,DICI,G-,8-Nov,35,59.5,53
E2,SCBI,G+,8-Nov,35,19,21
E3,LOCA,G-,8-Nov,35,46,27
E4,SCBI,G+,8-Nov,35,35.5,18
