Year,Rainfall
1960,920.24807
1961,829.49798
1962,1308.1884
1963,831.04694
1964,912.13288
1965,655.54977
1966,937.90983
1967,700.30162
1968,1089.9599
1969,605.11162
1970,912.2347
1971,733.71723
1972,870.37806
1973,923.91841
1974,915.85497
1975,775.73403
1976,775.02055
1977,846.58256
1978,908.3262
1979,882.73159
1980,782.43371
1981,824.61629
1982,676.17521
1983,802.75148
1984,641.36159
1985,775.89641
1986,723.72445
1987,911.60847
1988,893.86036
1989,861.14869
1990,912.7883
1991,734.61925
1992,679.68865
1993,679.40217
1994,681.55376
1995,776.91571
1996,838.09953
1997,550.65682
1998,1003.898
1999,619.47512
2000,474.96381
2001,838.48745
2002,758.75514
2003,895.50963
