Year,Ann_rain,Rwet,Rdry,Elephants,Wildebeest
1960,920.24807,791.28973,128.95834,NA,NA
1961,829.49798,719.8529,109.64508,1155,267000
1962,1308.1884,1056.9201,251.2683,NA,NA
1963,831.04694,766.63261,64.41433,NA,357000
1964,912.13288,760.62133,151.51155,NA,NA
1965,655.54977,496.22243,159.32734,2071,439000
1966,937.90983,800.71936,137.19047,2216,NA
1967,700.30162,603.98549,96.31613,2474,484000
1968,1089.9599,969.13514,120.82476,2278,NA
1969,605.11162,513.37175,91.73987,NA,NA
1970,912.2347,790.25598,121.97872,3189,NA
1971,733.71723,565.53564,168.18159,NA,693000
1972,870.37806,558.01519,312.36287,2800,773000
1973,923.91841,723.37553,200.54288,3000,NA
1974,915.85497,695.83997,220.015,3320,NA
1975,775.73403,551.43941,224.29462,2328,NA
1976,775.02055,567.90478,207.11577,NA,NA
1977,846.58256,683.02375,163.55881,2500,1443000
1978,908.3262,735.53947,172.78673,NA,1251000
1979,882.73159,776.7767,105.95489,NA,NA
1980,782.43371,659.9598,122.47391,NA,1337000
1981,824.61629,703.53679,121.0795,NA,NA
1982,676.17521,515.51016,160.66505,NA,1212000
1983,802.75148,601.3206,201.43088,NA,NA
1984,641.36159,489.34067,152.02092,1834,1337000
1985,775.89641,646.6589,129.23751,NA,NA
1986,723.72445,605.78879,117.93566,467,1148000
1987,911.60847,772.7176,138.89087,NA,NA
1988,893.86036,733.30941,160.55095,NA,NA
1989,861.14869,675.95477,185.19392,500,NA
1990,912.7883,778.08018,134.70812,NA,NA
1991,734.61925,546.31148,188.30777,NA,1225000
1992,679.68865,516.33945,163.3492,980,NA
1993,679.40217,616.84807,62.5541,NA,NA
1994,681.55376,524.55259,157.00117,1357,919000
1995,776.91571,612.16113,164.75458,NA,NA
1996,838.09953,599.42839,238.67114,NA,NA
1997,550.65682,473.78694,76.86988,NA,NA
1998,1003.898,861.03196,142.86604,2015,924000
1999,619.47512,523.44393,96.03119,NA,1298000
2000,474.96381,393.92994,81.03387,1613,1249000
2001,838.48745,647.86054,190.62691,NA,NA
2002,758.75514,679.98597,78.76917,NA,NA
2003,895.50963,727.54257,167.96706,2360,NA
