Year,Wildebeest,Wild_interp
1960,NA,233369.8603
1961,267000,267000
1962,NA,304570.7585
1963,357000,357000
1964,NA,377320.3593
1965,439000,439000
1966,NA,476650.3992
1967,484000,484000
1968,NA,564680.5389
1969,NA,619391.1178
1970,NA,649856.2874
1971,693000,693000
1972,773000,773000
1973,NA,906218.0639
1974,NA,1008681.637
1975,NA,1120252.994
1976,NA,1233382.934
1977,1443000,1443000
1978,1251000,1251000
1979,NA,1383492.016
1980,1337000,1337000
1981,NA,1244430.339
1982,1212000,1212000
1983,NA,1240553.892
1984,1337000,1337000
1985,NA,1293415.469
1986,1148000,1148000
1987,NA,1196223.054
1988,NA,1200185.13
1989,NA,1235264.87
1990,NA,1287416.567
1991,1225000,1225000
1992,NA,1321893.912
1993,NA,1344399.701
1994,919000,919000
1995,NA,920250
1996,NA,921500
1997,NA,922750
1998,924000,924000
1999,1298000,1298000
2000,1249000,1249000
2001,NA,1012920.259
2002,NA,1098561.377
2003,NA,989539.7206
