Year,Site,Plot,Sp,Ht
2009,BAN,1,acator,0.6
2009,BAN,1,acator,3.4
2009,BAN,1,acator,3.8
2009,BAN,1,acator,3.9
2009,BAN,1,acator,4.2
2009,BAN,1,acator,4.9
2009,BAN,1,acator,5.1
2009,BAN,1,acator,5.2
2009,BAN,1,acator,5.4
2009,BAN,1,acator,6.1
2009,BAN,1,acator,6.1
2009,BAN,1,acator,6.7
2009,BAN,1,acator,7
2009,BAN,1,acator,7.6
2009,BAN,1,acator,7.7
2009,BAN,1,comtro,0.65
2009,BAN,1,comtro,0.7
2009,BAN,1,comtro,0.7
2009,BAN,1,comtro,0.8
2009,BAN,1,comtro,0.85
2009,BAN,1,comtro,0.85
2009,BAN,1,comtro,0.9
2009,BAN,1,comtro,0.95
2009,BAN,1,comtro,1
2009,BAN,1,comtro,1.35
2009,BAN,1,comtro,1.4
2009,BAN,1,corova,1.7
2009,BAN,1,diccin,0.7
2009,BAN,1,diccin,0.85
2009,BAN,1,diccin,3.6
2009,BAN,1,ormtri,0.6
2009,BAN,1,ormtri,0.7
2009,BAN,1,ormtri,0.8
2009,BAN,1,ormtri,0.8
2009,BAN,1,ormtri,0.9
2009,BAN,1,ormtri,1
2009,BAN,1,ormtri,1.1
2009,BAN,1,ormtri,1.2
2009,BAN,1,ormtri,2.1
2009,BAN,1,ormtri,2.3
2009,BAN,2,acarob,3
2009,BAN,2,acarob,3.9
2009,BAN,2,acarob,4
2009,BAN,2,acarob,4.1
2009,BAN,2,acarob,4.1
2009,BAN,2,acarob,4.9
2009,BAN,2,acarob,5.1
2009,BAN,2,acarob,5.6
2009,BAN,2,acarob,5.7
2009,BAN,2,acasen,2.6
2009,BAN,2,acasen,3.45
2009,BAN,2,acator,0.25
2009,BAN,2,acator,0.4
2009,BAN,2,acator,0.65
2009,BAN,2,acator,4.7
2009,BAN,2,acator,5.1
2009,BAN,2,albhar,0.3
2009,BAN,2,bosang,0.43
2009,BAN,2,comtro,0.35
2009,BAN,2,comtro,0.39
2009,BAN,2,comtro,0.4
2009,BAN,2,comtro,0.5
2009,BAN,2,comtro,0.6
2009,BAN,2,comtro,0.65
2009,BAN,2,comtro,0.71
2009,BAN,2,comtro,0.75
2009,BAN,2,comtro,0.8
2009,BAN,2,comtro,0.89
