Diameter,Growth
41.3,0.4
1.8,0.3
2.8,0.55
1.8,0.5
1.9,0.4
1.1,0.25
1.2,0.5
1.6,0.1
5.7,0.7
44.5,0.25
1.8,0.45
5.5,0.25
5.1,0.15
1,0.25
1,0.1
1.2,0.05
2.1,0.25
4.9,0.05
1.9,0.2
2,0.25
1.1,0.1
6.8,0.2
7,0.45
1.2,0.15
1.3,0.1
1.7,0.75
2.1,0.3
3,0.35
1.2,0.2
1.1,0.15
1.4,0.25
1.3,0.05
44.6,0
35,0
1.6,0.2
3.9,0.65
1.9,0.15
5.2,0.3
1.1,0.1
1.5,0
1.4,0.15
1.8,0.15
1.5,0.25
1.1,0.35
1.2,0.2
9.6,0.75
8.1,1.05
7,1.1
7.6,0.65
7.1,0.95
5.8,0.75
5.1,0.7
2,0.25
2.6,0.45
4.7,0.45
1.3,0.2
5.5,0.6
1.5,0.1
1.3,0.05
12.5,0
1,0.15
4.2,0.25
2.3,0.15
2.3,0.2
1.7,0.2
1,0.1
1.4,0.15
1.2,0.15
1.5,0.15
1.8,0.05
1.4,0.15
1.5,0.05
2.2,0.3
1.8,0
1.4,0.2
15.2,0.85
1.5,0.15
2.1,0.25
1.6,0.4
2,0.35
1.2,0.4
1,0.1
50.3,0
4.7,0.2
2.7,0.2
6.7,0.5
4.7,0.6
4.7,0.5
47.4,0
2,0.2
4.9,0.25
10.9,0.9
4.1,0.2
12.7,0.8
2.4,0.2
9.3,0.4
1.5,0.45
3.9,0.35
3.7,0.35
5.6,0.6
5.1,0.4
1,0.2
7.6,0.85
5,0.35
5.6,0.8
4.5,0.8
5,0.65
8.7,0.75
1,0.15
1,0
1.3,0.05
5.7,0.35
1.2,0.2
3.9,0.05
